danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
0.672,0.623,9,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,92.018,215173,4,pop rock
0.643,0.436,1,-12.245,1,0.0273,0.724,0.459,0.11,0.422,91.485,200800,4,neo mellow
0.448,0.885,9,-3.755,1,0.0562,0.111,3.65e-06,0.0476,0.134,178.151,255893,4,pop rock
0.636,0.735,6,-5.162,1,0.0318,0.036,1.23e-06,0.0915,0.537,120.969,212373,4,neo mellow
0.323,0.244,11,-11.499,1,0.0293,0.776,1.02e-06,0.153,0.19,79.948,226840,4,piano rock
0.751,0.385,2,-11.659,1,0.032,0.707,3.36e-06,0.0944,0.688,84.0,222215,4,neo mellow
0.496,0.391,10,-9.844,1,0.0311,0.826,0.0126,0.108,0.492,108.868,183213,4,viral pop
0.556,0.774,2,-4.635,1,0.0309,0.00169,0.0,0.192,0.635,139.903,200829,4,neo mellow
0.798,0.527,6,-8.313,1,0.104,0.521,0.0,0.0978,0.826,98.033,162560,4,neo mellow
0.655,0.686,7,-5.701,1,0.028,0.371,1.13e-06,0.113,0.544,112.974,186109,4,neo mellow
0.678,0.615,4,-6.507,1,0.0331,0.526,0.0,0.317,0.66,98.01,190200,4,neo mellow
0.462,0.767,10,-5.038,1,0.0686,0.0395,0.0,0.728,0.901,201.064,240320,4,neo mellow
0.698,0.285,0,-7.632,1,0.0553,0.927,0.0,0.0883,0.53,135.027,148400,4,neo mellow
0.565,0.698,0,-8.596,1,0.0295,0.54,0.0183,0.124,0.155,120.013,253547,4,neo mellow
0.418,0.79,4,-6.599,0,0.0506,0.0284,9.96e-06,0.117,0.197,175.975,212386,4,acoustic pop
0.548,0.42,0,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,318909,4,neo mellow
0.614,0.427,4,-11.453,0,0.0347,0.634,0.000126,0.237,0.281,93.606,196520,4,neo mellow
0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,172213,4,stomp and holler
0.62,0.282,0,-10.619,1,0.0366,0.92,1.26e-05,0.188,0.195,131.556,211680,4,acoustic pop
0.65,0.396,4,-10.379,1,0.0263,0.662,0.0,0.245,0.435,108.962,250120,4,piano rock
0.657,0.43,1,-10.202,1,0.0314,0.534,0.000238,0.12,0.335,91.967,236379,4,neo mellow
0.63,0.386,7,-8.12,1,0.0931,0.812,0.0,0.104,0.213,74.058,265541,4,viral pop
0.515,0.0686,0,-17.61,1,0.0401,0.936,0.000129,0.117,0.33,113.185,235960,5,acoustic pop
0.426,0.399,0,-8.447,1,0.034,0.761,0.00112,0.118,0.217,115.979,254723,4,neo mellow
0.502,0.311,1,-13.421,1,0.0285,0.617,4.32e-05,0.129,0.4,107.612,165133,4,neo mellow
0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,205594,4,piano rock
0.285,0.186,1,-12.729,1,0.0288,0.76,7.3e-05,0.104,0.203,153.848,219467,4,acoustic pop
0.494,0.283,0,-8.696,1,0.0367,0.94,0.00129,0.205,0.302,87.22,182103,4,neo mellow
0.546,0.852,9,-5.058,1,0.0365,0.0128,0.0,0.128,0.831,96.907,225600,4,neo mellow
0.636,0.625,11,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,93.931,249120,4,pop rock
0.416,0.295,10,-11.523,1,0.0302,0.851,0.0,0.156,0.522,108.211,203760,3,acoustic pop
0.604,0.787,8,-6.287,1,0.0299,0.113,0.0723,0.134,0.39,120.047,290093,4,acoustic pop
0.555,0.934,9,-5.04,1,0.113,0.00268,0.0,0.122,0.422,144.874,243933,4,piano rock
0.417,0.593,2,-6.1,1,0.0266,0.0545,5e-05,0.0919,0.758,176.758,211133,4,acoustic pop
0.413,0.505,9,-8.043,1,0.0372,0.0671,0.0,0.117,0.223,130.193,232427,4,acoustic pop
0.586,0.423,7,-7.459,1,0.0261,0.252,5.83e-06,0.0976,0.318,138.133,232373,4,neo mellow
0.759,0.684,0,-5.751,1,0.0315,0.269,0.0,0.13,0.759,107.948,170040,4,neo mellow
0.668,0.485,9,-9.334,1,0.0257,0.709,0.0261,0.113,0.452,97.985,268187,4,neo mellow
0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,258827,4,pop rock
0.583,0.544,6,-6.109,1,0.0319,0.228,6.25e-05,0.0965,0.421,154.084,217267,4,neo mellow
0.604,0.654,6,-7.359,1,0.0603,0.00135,0.428,0.372,0.489,160.009,237000,4,acoustic pop
0.54,0.0674,9,-13.778,1,0.0368,0.888,0.000382,0.109,0.12,141.988,251440,3,neo mellow
0.636,0.789,0,-4.053,1,0.0665,0.00893,0.0,0.13,0.692,146.03,221040,4,acoustic pop
0.434,0.469,0,-7.849,0,0.0265,0.52,0.000328,0.108,0.0568,136.282,263824,4,acoustic pop
0.781,0.647,4,-6.404,1,0.0282,0.288,0.0,0.227,0.697,113.936,157613,4,neo mellow
0.615,0.358,5,-9.694,1,0.0552,0.705,0.0,0.113,0.432,146.06,220307,4,neo mellow
0.532,0.422,2,-9.326,1,0.0285,0.642,0.000767,0.108,0.347,144.089,225507,4,acoustic pop
0.443,0.592,1,-5.3,1,0.032,0.0668,0.0,0.0987,0.302,158.226,230080,4,neo mellow
0.341,0.669,1,-5.992,1,0.0399,0.0761,0.0,0.0795,0.333,203.823,216400,4,neo mellow
0.626,0.289,4,-11.412,0,0.0846,0.219,0.0,0.0963,0.596,83.767,185493,4,acoustic pop
0.577,0.446,6,-11.343,1,0.0313,0.554,0.0782,0.116,0.262,81.005,261640,4,indiecoustica
0.638,0.538,2,-6.667,1,0.034,0.516,0.0,0.0797,0.843,98.591,186640,4,acoustic pop
0.502,0.0548,1,-23.684,1,0.0356,0.924,0.0418,0.108,0.506,78.455,228013,4,acoustic pop
0.544,0.5,11,-8.253,1,0.026,0.0325,3.78e-06,0.109,0.177,93.621,238493,4,lilith
0.362,0.278,7,-9.143,1,0.0407,0.787,0.0,0.0932,0.456,182.815,285179,3,neo mellow
0.623,0.533,3,-6.086,1,0.0277,0.33,0.0,0.105,0.116,84.021,236720,4,neo mellow
0.712,0.601,8,-7.958,1,0.0752,0.558,0.0,0.133,0.821,100.061,209800,4,neo mellow
0.636,0.169,6,-14.168,1,0.0304,0.887,7.16e-05,0.229,0.454,87.995,181627,4,acoustic pop
0.595,0.297,2,-10.024,1,0.0387,0.841,0.0,0.158,0.438,85.977,244186,4,acoustic pop
0.47,0.801,9,-6.426,1,0.0352,0.0758,3.53e-05,0.218,0.431,173.92,235813,4,viral pop
0.665,0.38,4,-10.252,1,0.0325,0.0653,8.15e-05,0.103,0.286,165.713,332027,1,acoustic pop
0.549,0.24,0,-7.778,1,0.0338,0.947,0.0,0.106,0.167,119.58,268800,4,lilith
0.402,0.873,0,-5.317,1,0.0562,0.000781,0.0,0.123,0.482,155.147,243320,4,acoustic pop
0.723,0.93,0,-3.292,1,0.128,0.239,0.0,0.155,0.69,124.94,178659,4,acoustic pop
0.693,0.367,3,-11.66,1,0.0323,0.351,2.9e-05,0.111,0.286,129.879,274632,4,neo mellow
0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,201933,3,viral pop
0.541,0.537,8,-6.043,1,0.307,0.452,0.0,0.115,0.655,108.001,167195,3,neo mellow
