danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,popularity
0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,3JvrhDOgAt6p7K8mDyZwRd,204280,4,Folk,79
0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,0QZ5yyl6B6utIWkxeBDxQN,208212,3,Folk,77
0.331,0.45,10,-5.362,1,0.034,0.365,0.00464,0.22,0.18,123.829,4JE6agBLHGA5TaF6FlqfBD,218755,4,Folk,80
0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,3d8y0t70g7hw2FOWl9Z4Fm,160097,4,Folk,77
0.491,0.583,7,-10.964,1,0.0376,0.182,0.0,0.407,0.907,150.572,3yrSvpt2l1xhsV9Em88Pul,183307,4,Folk,80
0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,0JmiBCpWc1IAc0et7Xm7FL,252733,4,Folk,77
0.388,0.338,10,-10.054,1,0.0328,0.652,3.72e-06,0.248,0.477,177.784,2RlgNHKcydI9sayD2Df2xp,303373,4,Folk,82
0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,4yugZvBYaoREkJKtbG08Qr,211578,4,Folk,78
0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,40riOy7x9W7GXjyGp4pjAv,391376,4,Folk,84
0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,62AuGbAkt8Ox2IrFFb8GKV,203573,4,Folk,79
0.642,0.52,9,-7.886,1,0.0387,0.118,0.000509,0.552,0.488,136.014,5CalS8Gn69OOrR9aiw0ZO9,196055,4,Folk,74
0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,0W4Kpfp1w2xkY3PrV714B7,163133,4,Folk,73
0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719,4k7x3QKrc3h3U0Viqk0uop,289560,3,Folk,75
0.255,0.43,9,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267,39q7xibBdRboeMKUbZEB6g,197813,4,Folk,78
0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,5tVA6TkbaAH9QMITTQRrNv,256000,4,Folk,79
0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,1bp2IO61zbQrbWNmKKxg3f,264504,4,Folk,77
0.701,0.943,4,-2.986,1,0.0456,0.0747,0.0,0.601,0.791,128.992,5zA8vzDGqPl2AzZkEYQGKh,197707,4,Folk,78
0.608,0.524,8,-10.266,1,0.0309,0.367,0.00254,0.115,0.797,86.204,3lh3iiiJeiBXHSZw6u0kh6,205613,4,Folk,74
0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,1fDsrQ23eTAVFElUMaf38X,516893,4,Folk,76
0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,2DnJjbjNTV9Nd5NOa1KGba,258411,4,Folk,76
