,Unnamed: 0,endTime,artistName,trackName,msPlayed,trackID,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0,0,12/26/2019 00:14,Full Crate,L'Afrique,186997,,,,,,,,,,,,,,
1,1,12/29/2019 00:00,The All-American Rejects,Gives You Hell,213106,6ihL9TjfRjadfEePzXXyVF,213107.0,4.0,1.0,4.0,0.0159,0.718,0.691,0.0,0.0627,-6.44,0.0387,0.552,100.008
2,2,12/29/2019 00:01,Red Hot Chili Peppers,Californication,81214,48UPSzbZjgc449aqz8bxox,329733.0,9.0,0.0,4.0,0.0021,0.592,0.767,0.00165,0.127,-2.788,0.027,0.328,96.483
3,3,12/29/2019 00:05,Red Hot Chili Peppers,Californication,247171,48UPSzbZjgc449aqz8bxox,329733.0,9.0,0.0,4.0,0.0021,0.592,0.767,0.00165,0.127,-2.788,0.027,0.328,96.483
4,4,12/29/2019 00:08,Sublime,What I Got,170906,3B4q6KbHbGV51HO3GznBFF,170907.0,7.0,1.0,4.0,0.00877,0.804,0.696,0.000985,0.314,-7.47,0.0899,0.657,95.721
5,5,12/29/2019 00:13,Chance the Rapper,Cocoa Butter Kisses,307187,0aMHIW1lqrulVCx0LLlr6a,307188.0,6.0,0.0,4.0,0.0518,0.679,0.645,0.0,0.145,-7.777,0.222,0.203,125.795
6,6,12/29/2019 00:16,Social House,Magic In The Hamptons (feat. Lil Yachty),164640,2Yer0p7uB2lVBUAtANuuQp,164640.0,1.0,1.0,4.0,0.66,0.769,0.479,0.0,0.0914,-5.339,0.0385,0.803,96.051
7,7,12/29/2019 00:19,Bryce Vine,Guilty Pleasure,204413,3F0xQdEqmXIbrYbtZ46InQ,204413.0,6.0,1.0,4.0,0.00359,0.651,0.835,0.0,0.118,-5.768,0.0464,0.87,150.058
8,8,12/29/2019 00:23,Bazanji,Beachside,227003,7tld8T5xAPfOtMDYJ0GpdO,227004.0,5.0,0.0,4.0,0.0627,0.711,0.69,0.0,0.263,-4.948,0.0579,0.194,77.179
9,9,12/29/2019 00:26,Vacationer,Trip,173375,3c2iJnktGttp0MqYq2OhWl,173376.0,7.0,1.0,4.0,0.256,0.632,0.58,0.135,0.324,-8.169,0.0392,0.523,92.008
10,10,12/29/2019 00:27,Van Morrison,Brown Eyed Girl,71541,3yrSvpt2l1xhsV9Em88Pul,183307.0,7.0,1.0,4.0,0.182,0.491,0.583,0.0,0.407,-10.964,0.0376,0.907,150.572
11,11,12/29/2019 00:30,Van Morrison,Brown Eyed Girl,112019,3yrSvpt2l1xhsV9Em88Pul,183307.0,7.0,1.0,4.0,0.182,0.491,0.583,0.0,0.407,-10.964,0.0376,0.907,150.572
12,12,12/29/2019 00:33,mike.,This Feeling,191764,5SECgk6Gf1TVMy2FApJmSO,191765.0,9.0,1.0,4.0,0.411,0.715,0.672,0.000459,0.152,-8.155,0.127,0.361,92.085
13,13,12/29/2019 00:36,Kid Quill,Playlist,198922,0QXbKnplTUrae3P1P7xdq2,198922.0,9.0,1.0,4.0,0.124,0.749,0.701,0.0,0.0528,-5.782,0.251,0.891,174.013
14,14,12/29/2019 00:39,Jackson Breit,679 & No Diggity,182000,5bIV0X5jTmFPrTNMF4HLmF,182000.0,6.0,1.0,4.0,0.0917,0.671,0.772,0.0,0.118,-5.853,0.186,0.735,89.919
