endTime,artistName,trackName,msPlayed
12/26/2019 00:14,Full Crate,L'Afrique,186997
12/29/2019 00:00,The All-American Rejects,Gives You Hell,213106
12/29/2019 00:01,Red Hot Chili Peppers,Californication,81214
12/29/2019 00:05,Red Hot Chili Peppers,Californication,247171
12/29/2019 00:08,Sublime,What I Got,170906
12/29/2019 00:13,Chance the Rapper,Cocoa Butter Kisses,307187
12/29/2019 00:16,Social House,Magic In The Hamptons (feat. Lil Yachty),164640
12/29/2019 00:19,Bryce Vine,Guilty Pleasure,204413
12/29/2019 00:23,Bazanji,Beachside,227003
12/29/2019 00:26,Vacationer,Trip,173375
12/29/2019 00:27,Van Morrison,Brown Eyed Girl,71541
12/29/2019 00:30,Van Morrison,Brown Eyed Girl,112019
12/29/2019 00:33,mike.,This Feeling,191764
12/29/2019 00:36,Kid Quill,Playlist,198922
12/29/2019 00:39,Jackson Breit,679 & No Diggity,182000
12/29/2019 00:43,Healy,Reckless,237157
12/29/2019 00:45,Still Woozy,Goodie Bag,146390
12/29/2019 00:48,3OH!3,DONTTRUSTME,192573
12/29/2019 00:54,Mac Miller,Self Care,345133
12/29/2019 00:59,KAYTRANADA,GLOWED UP,298026
12/29/2019 01:03,Kevin Abstract,Georgia,219466
12/29/2019 01:05,KIDS SEE GHOSTS,4th Dimension,153351
12/29/2019 01:08,GoldLink,Herside Story,183760
12/29/2019 01:11,Aminé,Spice Girl,173946
12/29/2019 01:15,Miguel,waves - Tame Impala Remix,253346
12/29/2019 01:19,Anderson .Paak,Jet Black (feat. Brandy),208395
12/29/2019 01:22,Jai Paul,BTSTU - Edit,210000
12/29/2019 01:26,Cordae,Bad Idea (feat. Chance the Rapper),234614
12/29/2019 01:28,Still Woozy,Lucy,142500
12/29/2019 01:31,Domo Genesis,Dapper (feat. Anderson .Paak),193093
12/29/2019 01:34,NxWorries,Suede,174866
12/29/2019 01:37,Washed Out,Feel It All Around,192080
12/29/2019 01:40,Vince Staples,Norf Norf,183160
12/29/2019 01:46,Animal Collective,My Girls,340786
12/29/2019 01:50,Frank Ocean,DHL,268893
12/29/2019 01:55,Toro y Moi,So Many Details,285036
12/29/2019 01:58,"Tyler, The Creator",EARFQUAKE,190066
12/29/2019 02:01,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",201240
12/29/2019 02:06,Mac Miller,Fight the Feeling,301769
12/29/2019 02:10,Ravyn Lenae,Sticky,196754
12/29/2019 02:13,Louis The Child,Shake Something (feat. Joey Purp),193512
12/29/2019 02:16,Kanye West,All Falls Down,223506
12/29/2019 02:20,BROCKHAMPTON,1999 WILDFIRE,251250
12/29/2019 02:24,Bas,Tribe (with J. Cole),238053
12/29/2019 02:32,Smino,Amphetamine,469830
12/29/2019 02:37,KIDS SEE GHOSTS,Reborn,324674
12/29/2019 20:39,Joey Bada$$,Survival Tactics,202784
12/29/2019 20:43,Estelle,American Boy,284733
12/29/2019 20:46,Anarbor,You And I,177760
12/29/2019 21:10,Generationals,Put a Light On,100866
12/29/2019 21:12,Generationals,Put a Light On,117924
12/29/2019 21:16,BROCKHAMPTON,BLEACH,273151
